"Latitude","Mean","CI_lower","CI_upper"
30,NA,NA,NA
29.95,NA,NA,NA
29.9,NA,NA,NA
29.85,NA,NA,NA
29.8,NA,NA,NA
29.75,NA,NA,NA
29.7,NA,NA,NA
29.65,NA,NA,NA
29.6,NA,NA,NA
29.55,NA,NA,NA
29.5,NA,NA,NA
29.45,NA,NA,NA
29.4,NA,NA,NA
29.35,NA,NA,NA
29.3,16.2149998545647,8.97764702716015,23.4523526819692
29.25,13.204347750415,6.60886392341711,19.7998315774128
29.2,14.5757143497467,8.6027113449613,20.5487173545321
29.15,13.5896297295888,7.65863826587568,19.520621193302
29.1,9.10000007403524,5.65817461242016,12.5418255356503
29.05,13.624210501972,5.65212904288258,21.5962919610614
29,12.9147617362794,7.45329720198386,18.376226270575
28.95,11.4722223414315,6.40973365188501,16.534711030978
28.9,10.1286112368107,6.95104813957792,13.3061743340435
28.85,10.8625001613465,7.36527617702851,14.3597241456644
28.8,7.83894732437636,4.95327713740206,10.7246175113507
28.75,7.29090915213932,4.81383156848425,9.76798673579438
28.7,19.2241180994931,12.7644100107656,25.6838261882207
28.65,18.2545003592968,12.230959425944,24.2780412926496
28.6,7.2036363103173,4.41310495826125,9.99416766237335
28.55,7.42526309741171,4.66795594658773,10.1825702482357
28.5,4.44439998149872,2.62395527332333,6.26484468967411
28.45,8.6584614804731,3.03947846182655,14.2774444991196
28.4,12.8755555339158,7.99389689168045,17.7572141761511
28.35,10.641081143674,6.69018007780439,14.5919822095436
28.3,18.5435711326344,11.9976568496268,25.089485415642
28.25,19.0574995556048,13.2891211077862,24.8258780034234
28.2,19.8536665916443,14.4998113674203,25.2075218158683
28.15,20.9910001118978,14.9270752530592,27.0549249707364
28.1,13.3114997029305,9.08862197905276,17.5343774268081
28.05,11.7143475329099,7.38283978304111,16.0458552827786
28,12.7624241637461,8.94272302321432,16.5821253042779
27.95,13.9799998758568,8.19642072122463,19.7635790304889
27.9,16.6486665844917,6.90369386879574,26.3936393001877
27.85,16.3110343454213,6.18393563069374,26.4381330601489
27.8,12.5070586975883,8.62868200946571,16.3854353857109
27.75,10.8157575018704,7.10054385794206,14.5309711457987
27.7,7.10545453609842,4.57087807493416,9.64003099726269
27.65,10.2448276070685,2.46149230627697,18.0281629078601
27.6,11.579767381036,8.24446984553765,14.9150649165344
27.55,9.07424994856119,6.23739318910646,11.9111067080159
27.5,14.3751427750502,10.2452347776279,18.5050507724726
27.45,12.4134286126388,8.20112740054947,16.6257298247281
27.4,29.7925456469709,19.2342525223646,40.3508387715773
27.35,26.6018967484606,18.2896014694922,34.914192027429
27.3,20.4833332995034,14.4050910702536,26.5615755287532
27.25,21.1102856162936,14.9031364111978,27.3174348213893
27.2,16.5102327270217,10.1356353507145,22.8848301033289
27.15,15.9345002127811,9.20092123648745,22.6680791890748
27.1,14.8861223921484,10.7176364754402,19.0546083088565
27.05,16.633023117344,11.6726278868996,21.5934183477885
27,17.0591429178204,10.1437758972262,23.9745099384146
26.95,12.7503032801729,7.43853551522762,18.0620710451182
26.9,21.1571426434176,4.19845406456043,38.1158312222748
26.85,23.8829165299733,4.88226957754206,42.8835634824046
26.8,17.3590699947158,13.3693797848,21.3487602046315
26.75,16.1844187060068,12.5991282483103,19.7697091637033
26.7,18.9977774831984,12.9985070401113,24.9970479262855
26.65,21.7024322973715,14.5477994949828,28.8570650997602
26.6,26.4153062074768,19.3489139105889,33.4816985043648
26.55,26.6614584071406,19.369628624151,33.9532881901303
26.5,20.2276469837217,14.6071744596164,25.8481195078269
26.45,18.7827777717676,13.3434370992385,24.2221184442968
26.4,17.4172913470926,11.2404217370207,23.5941609571646
26.35,16.2223403073372,10.8953810197443,21.54929959493
26.3,22.0353846490383,15.8509174751757,28.219851822901
26.25,24.0825397438473,17.2865809114432,30.8784985762514
26.2,23.507656160742,19.7310774918572,27.2842348296269
