,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
27.8,-1.191211052,-3.794374619,1.411952516,-3.527493872,-7.404804561,0.349816816,1.683866886,-3.368835943,6.736569714,3.938220149,-0.94667627,8.823116568
27.75,-3.56732004,-7.434029939,0.299389859,-5.256024771,-9.933613647,-0.578435896,-1.537844562,-8.732978296,5.657289172,2.201665601,-6.256201219,10.65953242
27.7,-11.42154137,-18.29271214,-4.550370597,-8.517638755,-13.71942064,-3.315856864,-6.281938665,-14.775371,2.211493668,-4.097012658,-11.14818772,2.954162407
27.65,-13.17819559,-20.97866907,-5.37772212,-8.73352669,-15.33593643,-2.131116946,-8.088359523,-16.8224348,0.645715753,-2.104815701,-10.33116587,6.121534467
27.6,-5.310861854,-9.693351544,-0.928372165,-9.495302889,-16.42200904,-2.568596739,6.647319067,-0.032046306,13.32668444,13.39255773,3.782109544,23.00300591
27.55,-5.391845549,-9.254029312,-1.529661786,-10.31780838,-16.64725449,-3.988362262,6.880722915,1.146402494,12.61504334,12.39766639,5.271746136,19.52358664
27.5,-1.245853953,-6.665841659,4.174133753,-7.394101319,-15.38041508,0.592212445,0.553933093,-8.014926216,9.122792402,4.4157928,-6.836197684,15.66778329
27.45,0.791560007,-2.243449068,3.826569083,-4.29029376,-9.799321955,1.218734436,-6.43987374,-16.67615822,3.796410744,3.496098021,-8.631380718,15.62357676
27.4,1.081813569,-4.322182126,6.485809264,5.506576422,-2.099876529,13.11302937,6.781973233,-0.537618244,14.10156471,4.368880346,-6.261000513,14.99876121
27.35,-1.509361982,-6.270766111,3.252042147,0.893844851,-6.389536019,8.177225722,6.406900558,-0.810915424,13.62471654,3.44011701,-6.731665744,13.61189976
27.3,2.569416678,-2.100036036,7.238869392,4.875329542,-1.381940876,11.13259996,5.451129108,-3.386576132,14.28883435,14.64563773,7.317355629,21.97391983
27.25,0.404916063,-4.967732359,5.777564486,3.488907237,-3.609395385,10.58720986,3.614273452,-5.394661274,12.62320818,14.17813512,7.109055976,21.24721425
27.2,-2.919883607,-7.322842414,1.4830752,-2.212155172,-8.153212571,3.728902226,5.594967156,-1.516969981,12.70690429,18.56541758,12.108947,25.02188817
27.15,-3.108624126,-8.061772583,1.844524332,-2.685284119,-8.786592865,3.416024628,3.878420065,-3.754503946,11.51134408,17.89730475,11.13024728,24.66436222
