"Latitude","Mean","CI_lower","CI_upper"
26.45,-21.562833443284,-26.2434019862561,-16.882264900312
26.4,-20.6502701350161,-27.154290483958,-14.1462497860741
26.35,-23.3076808301435,-30.7259870645485,-15.8893745957384
26.3,-28.0514001083374,-37.0616435016424,-19.0411567150324
26.25,-32.2794230717879,-42.6199071933677,-21.9389389502081
26.2,-24.5312304489888,-30.5632775218804,-18.4991833760971
26.15,-24.8399998848555,-30.8494174122451,-18.830582357466
26.1,-25.5543902354633,-30.2470014385411,-20.8617790323855
26.05,-28.0880951696918,-33.1562613348901,-23.0199290044935
26,-31.9543856565367,-40.9471966291353,-22.961574683938
25.95,-27.9069998970255,-34.8344776607683,-20.9795221332828
25.9,-32.7457972531193,-40.9982764191524,-24.4933180870863
25.85,-30.1555715152196,-37.7296528532796,-22.5814901771595
25.8,-32.1697436968485,-38.3438538155841,-25.995633578113
25.75,-32.436144734183,-38.3412784469935,-26.5310110213724
25.7,-21.5466666325099,-25.8530829441247,-17.240250320895
25.65,-20.4151426689965,-24.7219683025031,-16.10831703549
25.6,-32.3349366606791,-38.5971076910989,-26.0727656302592
25.55,-29.2399997497216,-35.0746056284569,-23.4053938709864
25.5,-26.7567141952259,-34.7639950213239,-18.749433369128
25.45,-21.8384208947812,-27.4106631463639,-16.2661786431985
25.4,-19.573846300443,-25.0070944670236,-14.1405981338624
25.35,-19.0630001740796,-24.656988953063,-13.4690113950963
25.3,-24.1431705653667,-32.6738821216537,-15.6124590090798
25.25,-25.006976499807,-33.1281880358927,-16.8857649637213
25.2,-30.5797729140825,-41.2342144383368,-19.9253313898282
25.15,-22.0347060458187,-29.4969345048599,-14.5724775867774
25.1,-20.4719146933961,-31.2253361949531,-9.71849319183918
25.05,-22.5815381728686,-35.2293283453859,-9.93374800035121
25,-18.1253486594488,-23.7810258813502,-12.4696714375475
24.95,-19.6848718233598,-28.9300347173599,-10.4397089293597
24.9,-41.041694794671,-52.2814490596287,-29.8019405297133
24.85,-39.2322950968977,-49.586423224689,-28.8781669691064
24.8,-25.5552459857503,-32.582457662656,-18.5280343088446
24.75,-25.2729507137517,-31.5105161043365,-19.035385323167
24.7,-27.3122033582906,-34.150511754489,-20.4738949620921
24.65,-25.2233333388964,-32.0199545477077,-18.4267121300852
24.6,-30.1653063978468,-39.3282558684724,-21.0023569272211
24.55,-22.4799999110401,-28.3733487583732,-16.586651063707
24.5,-24.7533898868803,-32.4802943699084,-17.0264854038522
24.45,-28.5871430912188,-37.226357615085,-19.9479285673526
24.4,-21.9454929198493,-26.3972195020258,-17.4937663376727
24.35,-25.4507039080203,-30.5664685336444,-20.3349392823963
24.3,-32.0909232498362,-38.7943886657832,-25.3874578338891
