"Latitude","Mean","CI_lower","CI_upper"
26.45,-26.8409278033321,-32.7495328111828,-20.9323227954813
26.4,-20.0971738015828,-24.8856295094065,-15.3087180937591
26.35,-24.9502542306811,-29.2874290526427,-20.6130794087195
26.3,-27.7551997978985,-33.4251298201768,-22.0852697756203
26.25,-33.0469792478252,-40.8790391674718,-25.2149193281787
26.2,-33.0871027256841,-40.7720458538745,-25.4021595974936
26.15,-32.2774998914789,-40.1869734775601,-24.3680263053977
26.1,-31.7767887518083,-38.7635876370866,-24.7899898665301
26.05,-25.9989393730507,-30.6565895035471,-21.3412892425542
26,-27.1597809544662,-32.6891786580749,-21.6303832508576
25.95,-23.2284893116934,-27.9360617461296,-18.5209168772572
25.9,-24.6439838356119,-29.8698756414256,-19.4180920297982
25.85,-23.9423809759065,-28.7954708415516,-19.0892911102615
25.8,-24.9330232787964,-29.7752932357412,-20.0907533218515
25.75,-26.7157812295482,-32.6958089083277,-20.7357535507686
25.7,-28.1234616224583,-34.0252048629127,-22.2217183820038
25.65,-32.9778632643736,-40.2022043406776,-25.7535221880697
25.6,-27.5886426774519,-32.5142003191204,-22.6630850357833
25.55,-22.1632594295674,-26.38576611337,-17.9407527457648
25.5,-18.2205925512093,-22.5392783024279,-13.9019067999908
25.45,-22.636511615297,-27.5759233325006,-17.6970998980934
25.4,-18.9793284562097,-22.7775440226666,-15.1811128897527
25.35,-20.6231579371917,-25.3414511592981,-15.9048647150853
25.3,-16.3568141055582,-20.1780100763215,-12.5356181347948
25.25,-22.8712149953174,-28.8150694036394,-16.9273605869954
25.2,-22.8590266057743,-26.9499169571252,-18.7681362544235
25.15,-17.1308737290137,-20.6426394352318,-13.6191080227956
25.1,-24.2145652553957,-28.8036778788206,-19.6254526319708
25.05,-17.674196395258,-21.5589118159302,-13.7894809745858
25,-26.0922579095518,-32.0606361785675,-20.1238796405362
24.95,-29.5571430009746,-35.5741730464855,-23.5401129554636
