,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
27.85,-3.674645161,-6.177267239,-1.172023082,-7.979464323,-12.15371077,-3.805217879,-6.953836976,-14.24322923,0.335555279,-4.798652168,-14.36779255,4.77048821
27.8,-4.599893888,-7.096717029,-2.103070746,-4.010177074,-6.924735708,-1.09561844,-6.131493734,-10.29755423,-1.965433242,-4.306133211,-9.605640061,0.993373639
27.75,-4.048411718,-6.861205256,-1.235618179,-4.599669453,-7.427786996,-1.771551911,-6.748503796,-11.50569791,-1.991309678,-7.342700838,-13.7293607,-0.956040975
27.7,-6.603843172,-11.87556152,-1.332124823,-6.032833427,-10.35888057,-1.706786283,-5.348730711,-11.33821517,0.640753751,-3.388843865,-9.221130507,2.443442778
27.65,-10.23054816,-14.53265386,-5.928442453,-9.487912963,-13.298397,-5.677428927,-8.473098255,-14.71694954,-2.229246969,-2.788941353,-9.691123628,4.113240922
27.6,-4.589323274,-8.413035242,-0.765611307,-8.922100918,-14.29040604,-3.553795801,-11.56089124,-20.76776223,-2.354020247,-12.14938046,-20.12882326,-4.169937661
27.55,-6.259951482,-9.838465224,-2.68143774,-6.773658497,-11.52432635,-2.022990644,-11.80026503,-19.36111267,-4.239417385,-17.17325231,-26.73837813,-7.60812649
27.5,-3.67333806,-7.060564553,-0.286111568,-3.785619764,-7.573619882,0.002380355,-0.963101246,-7.240062313,5.31385982,-1.282406471,-7.88678157,5.321968628
27.45,-3.820308758,-7.404149851,-0.236467665,-4.963913069,-9.035430698,-0.89239544,-6.16629228,-14.52978324,2.19719868,-5.674127689,-14.62584134,3.277585966
27.4,-2.296040887,-4.612705447,0.020623673,-3.621678346,-6.661551279,-0.581805413,-8.740094217,-14.46559616,-3.014592269,-4.835762856,-12.17609784,2.504572132
27.35,-3.596551869,-6.727816622,-0.465287116,-7.543793065,-10.92140025,-4.16618588,-5.088545847,-9.887286957,-0.289804737,-9.157735092,-14.78939968,-3.526070503
27.3,-3.205242345,-6.414130384,0.003645693,-6.763609445,-9.978352241,-3.548866649,-11.96933251,-19.70958346,-4.229081554,-16.49848277,-24.87926099,-8.117704546
27.25,-0.614507046,-2.68155459,1.452540499,-2.694742885,-5.068537305,-0.320948464,-2.279246267,-6.319818205,1.761325671,-6.57830582,-12.24264892,-0.913962719
27.2,-2.6527128,-7.246251697,1.940826097,-4.635065755,-8.107697408,-1.162434101,-5.882125586,-11.88260118,0.11835001,-10.7868451,-19.31706876,-2.256621442
27.15,-3.90776294,-6.341270417,-1.474255462,-9.233239336,-13.82198928,-4.644489395,-10.07327897,-17.05915056,-3.087407388,-12.22148974,-19.67095393,-4.772025549
27.1,-7.631261766,-11.73848556,-3.524037972,-8.689685508,-13.48694843,-3.892422591,-12.75352334,-20.29226725,-5.21477943,-11.75816081,-19.6594132,-3.856908431
