"Latitude","Mean","CI_lower","CI_upper"
30,NA,NA,NA
29.95,NA,NA,NA
29.9,NA,NA,NA
29.85,NA,NA,NA
29.8,NA,NA,NA
29.75,NA,NA,NA
29.7,NA,NA,NA
29.65,NA,NA,NA
29.6,NA,NA,NA
29.55,NA,NA,NA
29.5,NA,NA,NA
29.45,NA,NA,NA
29.4,NA,NA,NA
29.35,0.537931642918424,0.508321761222043,0.567541524614806
29.3,0.528104169326916,0.502053009883044,0.554155328770788
29.25,0.526832851581275,0.497137338255873,0.556528364906678
29.2,0.524401829677059,0.495697147047946,0.553106512306173
29.15,0.50846161440425,0.486686665549001,0.530236563259498
29.1,0.497668253928423,0.472963744609969,0.522372763246876
29.05,0.514709881962614,0.490232118126343,0.539187645798885
29,0.527477482902376,0.503313259023276,0.551641706781477
28.95,0.532782296441039,0.508029079148875,0.557535513733203
28.9,0.534396172750114,0.510232843381813,0.558559502118415
28.85,0.507804837429298,0.482143583941299,0.533466090917298
28.8,0.516021030946313,0.49047819622786,0.541563865664766
28.75,0.541830894873314,0.51649542735913,0.567166362387499
28.7,0.541568647486618,0.513716236936018,0.569421058037217
28.65,0.538016307663608,0.508889635038528,0.567142980288688
28.6,0.511272384495032,0.47980670079746,0.542738068192604
28.55,0.539929672703147,0.510574379025302,0.569284966380992
28.5,0.501235102791162,0.470722522889579,0.531747682692744
28.45,0.524021430713374,0.490581704633772,0.557461156792977
28.4,0.504057058229529,0.471396770028224,0.536717346430833
28.35,0.495594543468146,0.464031281701915,0.527157805234378
28.3,0.511862918477634,0.479871732062578,0.54385410489269
28.25,0.505717117945815,0.473303063475557,0.538131172416074
28.2,0.503953597427886,0.472608451566817,0.535298743288955
28.15,0.489359977879102,0.45674136511835,0.521978590639854
28.1,0.494105843767043,0.467507774906479,0.520703912627607
28.05,0.470648294011521,0.44104450264719,0.500252085375852
28,0.4827890843153,0.460018639369647,0.505559529260953
27.95,0.483393514698202,0.45798303093073,0.508803998465674
27.9,0.51103610381484,0.48489860832859,0.537173599301091
27.85,0.51175220801106,0.48631405611516,0.537190359906959
27.8,0.519866976246078,0.492555964285571,0.547177988206584
27.75,0.511720256475003,0.491108604847772,0.532331908102234
27.7,0.493428013849967,0.470302927519891,0.516553100180042
27.65,0.499403639696538,0.475822424661183,0.522984854731894
27.6,0.498266235157684,0.468542072444469,0.527990397870898
27.55,0.494970138608055,0.461899640340255,0.528040636875855
27.5,0.520020142197609,0.489410748281997,0.550629536113221
27.45,0.478477099984884,0.450454034162535,0.506500165807234
27.4,0.529140629452364,0.505357901279652,0.552923357625077
27.35,0.477888091326618,0.45549010983336,0.500286072819875
27.3,0.489812158048153,0.464436939023583,0.515187377072723
27.25,0.478335981698413,0.453601939047995,0.50307002434883
27.2,0.47339749181608,0.44969031935812,0.49710466427404
27.15,0.485377477560224,0.458382631737501,0.512372323382946
27.1,0.483812594572,0.454776141461537,0.512849047682462
27.05,0.462279655387468,0.431916546877503,0.492642763897434
27,0.470167435777997,0.439653022525259,0.500681849030736
26.95,0.465184128978878,0.437261295462601,0.493106962495154
26.9,0.479399149198281,0.450478409718267,0.508319888678295
26.85,0.505105415109506,0.47593539243131,0.534275437787702
26.8,0.486130363690226,0.459231082812523,0.513029644567928
26.75,0.531222520578726,0.50807897833576,0.554366062821692
26.7,0.497512466216509,0.470746598883137,0.524278333549882
26.65,0.498422786837719,0.472838342610435,0.524007231065002
26.6,0.469830014083507,0.444593562838253,0.495066465328761
26.55,0.488611044392975,0.461182422192163,0.516039666593787
26.5,0.495576046375108,0.467993328276689,0.523158764473528
26.45,0.481898489466403,0.456140055907934,0.507656923024872
26.4,0.508590805033843,0.483676909084915,0.533504700982771
26.35,0.482110142478576,0.456220390263484,0.507999894693668
26.3,0.454372090823722,0.4274114071473,0.481332774500144
26.25,0.456285272608511,0.424282519529894,0.488288025687129
