,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
27.8,0.687165224,-4.519380384,5.893710833,-5.333215246,-12.88064154,2.214211052,-2.322034226,-13.419118,8.775049551,-3.252234434,-17.11355902,10.60909015
27.75,0.652224248,-4.180956257,5.485404753,-3.099119739,-10.75285863,4.554619151,-3.906871345,-15.06596083,7.252218136,-0.340102868,-11.45905454,10.7788488
27.7,2.691277998,-4.376677224,9.75923322,-0.04633635,-9.313578985,9.220906285,0.580589185,-14.04557913,15.2067575,-5.819863215,-19.7015992,8.061872768
27.65,2.039632231,-4.161505266,8.240769729,5.100020815,-2.428581585,12.62862321,3.976502955,-6.166547791,14.1195537,-5.440509468,-20.01452388,9.133504941
27.6,-5.856033401,-10.49405681,-1.218009989,-15.36903721,-24.75809972,-5.979974706,-8.748918232,-22.0251438,4.52730734,-2.312169453,-16.17972831,11.5553894
27.55,-3.244983921,-10.44713849,3.95717065,-13.23263086,-23.95084705,-2.514414666,-2.282966387,-16.02048473,11.45455195,13.92639927,-0.986298523,28.83909707
27.5,-2.227531721,-9.772554547,5.317491105,-0.920711225,-13.47462307,11.63320062,9.496637583,-4.480510648,23.47378581,23.55022725,10.02746118,37.07299333
27.45,1.670292726,-5.596359956,8.936945407,-0.825371218,-12.41202308,10.76128065,9.096799196,-6.66652596,24.86012435,15.86168616,0.345535186,31.37783713
27.4,1.150626977,-4.713824241,7.015078195,-10.70972934,-20.80149429,-0.617964388,-6.356945523,-22.08532793,9.37143688,3.548065844,-12.11156061,19.2076923
27.35,-2.088580104,-7.877998167,3.700837959,-6.552535257,-14.41346732,1.308396803,-6.29673557,-19.07685388,6.483382738,-11.56028292,-26.07719934,2.956633489
27.3,-4.945622251,-11.87371209,1.982467584,-6.34362664,-13.91621959,1.228966309,-4.121145398,-17.78466776,9.542376968,-1.009899295,-15.05448446,13.03468586
27.25,-3.264066858,-8.280223011,1.752089295,-4.294223803,-11.1672882,2.578840595,-8.333907225,-20.68947917,4.021664717,-5.100842122,-16.99520253,6.793518286
27.2,-0.609582457,-6.59676358,5.377598667,-0.568774271,-7.52672952,6.389180978,-4.575016251,-17.45807499,8.308042487,-1.95876218,-15.71317989,11.79565553
27.15,1.82814775,-2.798170462,6.454465961,-10.26401922,-17.94642117,-2.581617274,-5.544930485,-16.94240802,5.852547051,-6.92319501,-20.48062988,6.634239865
27.1,0.274273943,-6.636400447,7.184948332,0.394529581,-7.020595153,7.809654315,4.815690803,-7.941055005,17.57243661,10.76460777,-5.48158013,27.01079567
27.05,-5.201472107,-11.84475704,1.441812829,-10.56376586,-19.0991783,-2.028353414,-8.510717944,-22.31227367,5.290837785,-9.976922251,-24.21156543,4.257720924
27,1.650899236,-7.537633438,10.83943191,3.553138913,-8.134274834,15.24055266,-3.562423192,-18.82218027,11.69733389,17.10783661,4.141459974,30.07421324
26.95,-1.178900277,-8.815108283,6.457307729,-3.18960159,-14.21859,7.83938682,-16.58068566,-34.94600802,1.784636698,-14.84077593,-33.99248414,4.310932288
26.9,4.729488478,-0.695980112,10.15495707,8.016586423,-0.379294345,16.41246719,8.304783723,-5.290768305,21.90033575,6.81820147,-9.527861214,23.16426415
26.85,0.49833699,-5.315048014,6.311721993,-3.856218631,-11.72950963,4.017072368,-5.975600982,-16.98188607,5.030684103,5.298205078,-7.749737356,18.34614751
26.8,4.550398189,-1.435337297,10.53613368,-2.714687311,-11.67223522,6.242860598,-7.023313592,-19.34589426,5.299267073,-1.75836002,-17.99268831,14.47596827
26.75,-3.586843559,-8.163244155,0.989557037,-2.599136761,-9.094789926,3.896516405,-9.779064923,-20.88588973,1.327759883,-7.462625742,-21.04754802,6.122296538
26.7,1.090365961,-3.72744039,5.908172312,-2.481238042,-9.360438617,4.397962532,3.339357834,-6.345835673,13.02455134,15.94408225,5.533083258,26.35508124
26.65,3.186181571,-3.76230369,10.13466683,-2.393246875,-10.07175774,5.285263987,-5.940399778,-16.97961014,5.098810579,-0.283574202,-11.60216816,11.03501976
26.6,5.021583412,-1.967634985,12.01080181,-5.838521758,-14.44942284,2.772379322,-4.295886924,-13.63468263,5.042908777,-0.188221866,-11.63506558,11.25862185
26.55,2.910126511,-4.433524524,10.25377755,-5.900035814,-15.47808107,3.678009443,-11.99472466,-23.34981343,-0.639635888,-10.12122072,-24.78259231,4.540150882
26.5,3.395928206,-1.821076275,8.612932687,2.084501046,-7.484756749,11.65375884,5.871431816,-6.490560667,18.2334243,12.50783348,0.142616425,24.87305053
26.45,2.857646362,-1.95143166,7.666724383,-6.638624439,-14.61471842,1.337469546,-7.987340306,-18.64485389,2.670173282,-7.140861105,-19.0056514,4.723929191
26.4,0.67751047,-5.399361364,6.754382304,0.753122867,-6.853727824,8.359973558,-0.404565543,-12.40297629,11.59384521,0.905324627,-11.00325598,12.81390523
26.35,4.717715012,-1.633288827,11.06871885,3.181352033,-5.240414699,11.60311876,1.459706449,-8.662174095,11.58158699,2.160467288,-9.725359996,14.04629457
26.3,5.871290299,-0.974076218,12.71665682,-0.419527998,-9.647016888,8.807960892,-4.141681994,-17.99269945,9.70933546,0.409296949,-11.4335879,12.2521818
26.25,0.096604335,-5.818858774,6.012067444,-8.051140521,-17.61702224,1.514741198,-12.68706645,-25.70040913,0.32627622,-7.159941321,-22.37609738,8.056214741
26.2,0.392436757,-4.86033583,5.645209343,-7.682212807,-16.25828256,0.893856945,-0.172392451,-10.55706354,10.21227864,3.294203264,-7.731025994,14.31943252
26.15,-0.302250153,-4.793142264,4.188641959,-2.562075606,-10.45763226,5.333481051,-1.564586267,-15.35315054,12.22397801,-1.596080011,-17.36363378,14.17147375
26.1,-0.264765408,-4.416146337,3.886615521,-10.10891109,-17.9680071,-2.249815079,-17.41450378,-29.39045496,-5.438552593,4.854243997,-7.582670672,17.29115867
