"Latitude","Mean","CI_lower","CI_upper"
30,NA,NA,NA
29.95,NA,NA,NA
29.9,NA,NA,NA
29.85,NA,NA,NA
29.8,NA,NA,NA
29.75,NA,NA,NA
29.7,NA,NA,NA
29.65,NA,NA,NA
29.6,NA,NA,NA
29.55,NA,NA,NA
29.5,NA,NA,NA
29.45,NA,NA,NA
29.4,NA,NA,NA
29.35,21.7486362894997,13.2652380993683,30.2320344796311
29.3,24.4368964598097,12.2077295187146,36.6660634009047
29.25,25.2705888660515,7.52969561618075,43.0114821159223
29.2,17.2934997558594,9.6843092877739,24.9026902239448
29.15,20.695172236012,13.3321492944803,28.0581951775437
29.1,15.5273530903985,11.937496343823,19.1172098369739
29.05,16.8935716492789,9.84799158199068,23.9391517165671
29,35.6607688757089,16.9709337680741,54.3506039833438
28.95,25.4126089500344,14.5044421139657,36.3207757861031
28.9,23.3630556331741,17.2195884377218,29.5065228286263
28.85,26.4955171387771,17.0342831792744,35.9567510982798
28.8,21.2863334870587,11.2163248675837,31.3563421065337
28.75,24.7575998580456,11.5408432323031,37.9743564837881
28.7,21.5981250889599,13.5423536572197,29.6538965207001
28.65,23.5184374088421,15.0430032818091,31.9938715358752
28.6,11.5727585800763,7.31031205968069,15.8352051004719
28.55,11.1122727628628,6.36057641255787,15.8639691131677
28.5,16.0823530037613,11.7952994919448,20.3694065155779
28.45,14.4096874892712,11.0224799528226,17.7968950257197
28.4,21.6274285950831,15.1713616240902,28.083495566076
28.35,19.644222176075,13.178064717019,26.1103796351309
28.3,21.4615152279536,12.8811880305955,30.0418424253117
28.25,31.883249849081,19.2658330298392,44.5006666683229
28.2,18.7577418180243,9.7478256321871,27.7676580038614
28.15,21.1526469526922,16.792926632147,25.5123672732374
28.1,26.6107690976216,18.1205278736858,35.1010103215575
28.05,16.7976470519515,9.70498526379076,23.8903088401122
28,27.0288235615281,18.96724363283,35.0904034902263
27.95,21.0114999212325,14.2764783306249,27.74652151184
27.9,22.990333216389,15.1662603940347,30.8144060387434
27.85,21.8457689101879,15.523869469457,28.1676683509189
27.8,20.0627500116825,14.8665966253036,25.2589033980614
27.75,17.5691667720675,12.2474496557095,22.8908838884256
27.7,20.6156818873503,11.3584379150106,29.87292585969
27.65,21.8884614702219,14.4576450876209,29.3192778528228
27.6,21.2575003951788,9.68212468899334,32.8328761013642
27.55,25.0842499881983,18.2909135119026,31.877586464494
27.5,33.356444553203,23.2748792413719,43.4380098650342
27.45,39.5720512591876,27.4931376596164,51.6509648587587
27.4,25.7386665066083,14.1854262636392,37.2919067495775
27.35,26.0568181791089,18.5091237326423,33.6045126255754
27.3,23.3656756459056,15.1795134427883,31.5518378490228
27.25,23.1036536131914,17.7878563771028,28.41945084928
27.2,21.6219512064282,13.8548822828219,29.3890201300346
27.15,21.2299998194882,11.9817833261249,30.4782163128515
27.1,28.2547826608238,20.3526792218723,36.1568860997753
27.05,20.9190243395363,13.7424676194086,28.0955810596641
27,33.1485713184589,20.9372956038454,45.3598470330725
26.95,30.9714281729289,16.1648710276268,45.7779853182311
26.9,26.8287753230151,17.9298759834694,35.7276746625607
26.85,22.826666785009,12.8834064419567,32.7699271280612
26.8,25.3278946876526,14.8696470389897,35.7861423363155
26.75,25.0417642032399,16.7229849605741,33.3605434459057
26.7,21.1424560576285,15.3275352205947,26.9573768946623
26.65,24.5326317261186,16.9118842193819,32.1533792328553
26.6,27.0665384389532,19.4362486511784,34.696828226728
26.55,30.3782925722076,22.6863817786174,38.0702033657977
26.5,30.3053446057542,21.092187827969,39.5185013835394
26.45,22.7717998534441,15.6918702645171,29.8517294423711
26.4,23.788490565318,18.5340993752991,29.0428817553368
26.35,27.2411113691235,19.2764381473816,35.2057845908654
26.3,29.5903276380945,22.5301182971463,36.6505369790428
26.25,25.5553332759274,17.5053919557422,33.6052745961127
26.2,26.0438887785982,19.5194264974726,32.5683510597238
