"Latitude","Mean","CI_lower","CI_upper"
26.5,-33.498695568546,-45.5184889107465,-21.4789022263456
26.45,-32.8976785838604,-42.2740084964221,-23.5213486712987
26.4,-26.994090964679,-37.8891369028851,-16.0990450264729
26.35,-27.7530612787422,-39.3029475167889,-16.2031750406955
26.3,-40.214347867862,-52.0993352862381,-28.3293604494859
26.25,-37.1346153745858,-48.7789913635285,-25.4902393856431
26.2,-37.0567738509947,-47.5678856705066,-26.5456620314828
26.15,-27.9006250711779,-35.6520059128571,-20.1492442294987
26.1,-33.2965079035078,-40.0661390128152,-26.5268767942004
26.05,-37.6034846653541,-47.807670857976,-27.3992984727322
26,-25.2601470679921,-31.4939973018828,-19.0262968341014
25.95,-27.0174602284022,-34.0056971359507,-20.0292233208538
25.9,-28.4029824273628,-35.2195487592946,-21.586416095431
25.85,-33.5750620354105,-41.2995344032946,-25.8505896675264
25.8,-34.7801612519449,-44.958798226047,-24.6015242778427
25.75,-35.8195453403574,-44.4096503199315,-27.2294403607834
25.7,-34.9568656573155,-42.9244541487069,-26.9892771659242
25.65,-40.5249995914373,-49.7171935994352,-31.3328055834393
25.6,-34.1525609355147,-40.993900131135,-27.3112217398945
25.55,-35.7299996767725,-44.7147840139917,-26.7452153395533
25.5,-33.8457375295827,-42.9334804478682,-24.7579946112971
25.45,-30.7038664023081,-38.5119026601865,-22.8958301444298
25.4,-32.0121429298605,-41.6034196576115,-22.4208662021095
25.35,-28.3700002424885,-35.4046651387109,-21.335335346266
25.3,-33.0778001268208,-42.3906106019347,-23.7649896517069
25.25,-42.2309090522203,-54.2600079174058,-30.2018101870347
25.2,-30.3167391626731,-41.2967117120609,-19.3367666132854
25.15,-25.737777739101,-35.6449540597089,-15.8306014184931
25.1,-27.5225576411846,-35.1980050405137,-19.8471102418555
25.05,-25.9531371184424,-33.5357219110212,-18.3705523258635
25,-25.3220635662003,-31.7739431770952,-18.8701839553054
24.95,-35.3204547871243,-46.2645024030292,-24.3764071712194
24.9,-25.5086000394821,-33.0170355215009,-18.0001645574634
24.85,-28.5261817932129,-37.07291097395,-19.9794526124757
24.8,-24.7251613337186,-30.6040034157444,-18.8463192516928
24.75,-27.7144442035092,-38.388409306024,-17.0404791009945
24.7,-34.3428847835614,-45.364877585522,-23.3208919816008
24.65,-38.5973075834604,-50.193986662754,-27.0006285041669
24.6,-37.0270832458304,-45.3547543515786,-28.6994121400822
24.55,-35.7413331170877,-44.6672920919613,-26.8153741422141
24.5,-33.5306063800147,-41.7926437210059,-25.2685690390235
24.45,-25.3225000810809,-32.218746039442,-18.4262541227199
24.4,-33.2486486048312,-40.3840861513876,-26.1132110582747
24.35,-31.0324053326739,-37.617218626233,-24.4475920391149
24.3,-33.8952630883769,-42.6968907787574,-25.0936353979964
24.25,-34.2549999302507,-41.1070784584806,-27.4029214020208
24.2,-31.1427911291289,-38.1278283601909,-24.1577538980669
24.15,-43.7413953612017,-52.6547801314071,-34.8280105909963
24.1,-30.1691766079734,-37.2421255330351,-23.0962276829118
24.05,-30.4791861127975,-38.1327536049605,-22.8256186206346
24,-25.0943158608518,-30.7136257544175,-19.4750059672861
23.95,-30.6096001946926,-38.4208256252787,-22.7983747641065
23.9,-31.6920254147505,-38.1764053200097,-25.2076455094914
