Label,Mean_dNBR,SE_dNBR
NF,1.094988559,0.003626142
BF,0.371803668,0.003108253
MF,0.36451571,0.004808449
Shrub,0.197921692,0.004498022
Savanna,0.397459041,0.000494748
Grass,0.293461821,0.000506577
