¦¤resilience(unit:%),,,,,Recovery time(unit:month),,,,
Freq_Class,Area_Class,Mean,CI_lower,CI_upper,Freq_Class,Area_Class,Mean,CI_lower,CI_upper
1 Fire,0¡ª50 ha,-5.074801017,-5.211487339,-4.938114695,1 Fire,0¡ª50 ha,6.424367149,6.328238827,6.520495471
1 Fire,50¡ª100 ha,-5.831562455,-6.23353549,-5.429589421,1 Fire,50¡ª100 ha,7.925960637,7.595886165,8.25603511
1 Fire,100¡ª20 ha,-9.158788391,-9.845718812,-8.47185797,1 Fire,100¡ª20 ha,8.850505807,8.296247964,9.40476365
1 Fire,>200 ha,-11.14604892,-13.36869383,-8.923404006,1 Fire,>200 ha,10.94871795,8.896961179,13.00047472
2-3 Fires,0¡ª50 ha,-3.520984189,-3.607300578,-3.434667801,2-3 Fires,0¡ª50 ha,5.923178002,5.865493017,5.980862986
2-3 Fires,50¡ª100 ha,-3.226616022,-3.349804153,-3.103427892,2-3 Fires,50¡ª100 ha,6.455778876,6.364745769,6.546811982
2-3 Fires,100¡ª20 ha,-4.09158353,-4.250824972,-3.932342088,2-3 Fires,100¡ª20 ha,7.061363035,6.935972138,7.186753933
2-3 Fires,>200 ha,-6.328693726,-7.008476975,-5.648910478,2-3 Fires,>200 ha,8.326558891,7.751184506,8.901933277
4-5 Fires,0¡ª50 ha,-3.455065934,-3.606550889,-3.303580979,4-5 Fires,0¡ª50 ha,5.193062498,5.1128227,5.273302296
4-5 Fires,50¡ª100 ha,-2.183768745,-2.314233932,-2.053303558,4-5 Fires,50¡ª100 ha,5.133505599,5.06354085,5.203470348
4-5 Fires,100¡ª20 ha,-2.223707803,-2.323245884,-2.124169723,4-5 Fires,100¡ª20 ha,5.446615731,5.385801315,5.507430148
4-5 Fires,>200 ha,-2.970846369,-3.237687016,-2.704005722,4-5 Fires,>200 ha,5.833355186,5.643779859,6.022930512
¡İ6 Fires,0¡ª50 ha,-4.518865177,-4.989563213,-4.048167142,¡İ6 Fires,0¡ª50 ha,4.871785029,4.664542673,5.079027385
¡İ6 Fires,50¡ª100 ha,-2.913375802,-3.253982147,-2.572769458,¡İ6 Fires,50¡ª100 ha,4.78589876,4.632597364,4.939200157
¡İ6 Fires,100¡ª20 ha,-1.708896597,-1.870800467,-1.546992727,¡İ6 Fires,100¡ª20 ha,4.680889593,4.617732792,4.744046394
¡İ6 Fires,>200 ha,-1.278808172,-1.50964128,-1.047975063,¡İ6 Fires,>200 ha,4.963138359,4.855312661,5.070964057
